NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-57 c,0.0115953,0.138158,11.6092567,
HD 168443 c,17.3857,,1749.83,0.2113
Kepler-172 c,0.0245625,0.255152,6.388996,
Kepler-400 c,0.0115291,0.132929,17.340824,
Kepler-220 e,0.00789025,0.118655,45.902733,
WASP-57 b,0.675887,0.916,2.838971,0
HAT-P-37 b,1.17362,1.178,2.79736,0.058
Kepler-198 c,0.019315,0.220359,49.567416,
Kepler-249 b,0.00396389,0.0972433,3.306539,
HD 81040 b,6.87654,,1001.7,0.526
HD 208527 b,10.014,,875.5,0.08
Kepler-165 b,0.0176845,0.206977,8.180848,
Kepler-28 b,0.0397121,0.320884,5.91213,0
Kepler-118 c,0.184717,0.685164,20.17202,
HAT-P-32 b,0.861516,1.789,2.150008,0
GJ 163 c,0.0215524,,25.63058,0.099
HD 95089 b,1.12925,,507,0.157
XO-3 b,13.2849,1.217,3.1915426,0.2884
HD 114729 b,0.944758,,1114,0.167
Kepler-122 e,0.0208911,0.231956,37.993273,
Kepler-103 c,0.0877632,0.458519,179.612,0
HD 100655 b,1.33352,,157.57,0.085
Kepler-400 b,0.0122424,0.147203,9.024389,
Kepler-106 c,0.019662,0.223015,13.5708,0
Kepler-113 b,0.013404,0.16237,4.754,0
HD 142415 b,1.66194,,386.29999,0.5
CoRoT-9 b,0.843564,1.05,95.2738,0.11
HD 114386 b,1.3637,,937.70001,0.23
HD 103197 b,0.0982431,,47.84,0
7 CMa b,2.43233,,763,0.14
Kepler-368 b,0.0318107,0.290838,26.84768,
Kepler-335 b,0.0346488,0.302436,6.562331,
WASP-16 b,0.842294,1.008,3.1186009,0
Kepler-316 b,0.00359062,0.0945669,2.240508,
HD 152581 b,1.51375,,689,0
KIC 11442793 h,0.937417,1.01,331.60059,
Kepler-103 b,0.0305195,0.300624,15.9654,0
Kepler-338 b,0.0189734,0.217682,13.726976,
Kepler-129 b,0.0182069,0.211437,15.79186,
PH-1 b,0.100437,0.550851,138.506,0.0539
Kepler-306 d,0.019315,0.220359,17.326644,
Kepler-37 d,0.00577478,0.178,39.792187,0.102489
HD 13908 c,5.13,,931,0.12
HD 125595 b,0.0416764,,9.6737,0
WASP-79 b,0.887514,1.7,3.6623817,0
Kepler-107 b,0.0116666,0.139174,3.179997,
Kepler-109 c,0.0199023,0.224819,21.2227,0
HIP 57274 c,0.410096,,32.03,0.05
Kepler-30 d,0.0726872,0.784384,143.343,0.022
Kepler-158 c,0.0139923,0.169507,28.551383,
HD 93083 b,0.368176,,143.58,0.14
HD 31253 b,0.501427,,466,0.3
Kepler-357 c,0.0218083,0.238201,16.85837,
HD 89744 b,8.18778,,256.78,0.673
HD 183263 c,3.47646,,3066,0.23873
WASP-42 b,0.496968,1.063,4.9816877,0
Kepler-53 d,0.0157841,0.189134,9.751962,
Kepler-48 b,0.0123966,0.17133,4.778,0
HD 192310 c,0.0736073,,525.8,0.32
HD 1690 b,6.52644,,533,0.64
HAT-P-41 b,0.800254,1.685,2.694047,0
Kepler-42 c,0.000954523,0.0650682,0.45328509,
HD 28185 b,5.79721,,379,0.05
HD 23127 b,1.40487,,1214,0.44
HD 154672 b,5.00638,,163.94,0.61
Kepler-275 d,0.0333072,0.297083,35.676062,
Kepler-52 b,0.015593,0.187182,7.8773565,
OGLE-TR-10 b,0.62,1.25,3.10129,0
Kepler-370 b,0.011856,0.14185,4.57953,
gamma Leo A b,10.3722,,428.5,0.144
NN Ser c,2.24099,,5571,0.22
HAT-P-2 b,8.87065,1.157,5.6334729,0.5171
HAT-P-24 b,0.685857,1.242,3.35524,0.067
HD 11506 b,4.7347,,1405,0.3
tau Boo b,5.95,,3.312433,0.023
Kepler-124 c,0.0129124,0.156125,13.821375,
Kepler-184 c,0.0145328,0.175752,20.303005,
HD 34445 b,0.790506,,1049,0.27
Kepler-318 b,0.0733215,0.420198,4.662715,
OGLE-2007-BLG-368L b,0.0629,,,
HD 125612 b,3.06805,,559.40487,0.45899
Kepler-20 f,0.00323095,0.0918085,19.57706,0
Kepler-198 b,0.0239491,0.251584,17.790037,
42 Dra b,3.73203,,479.1,0.38
Kepler-216 b,0.0179955,0.209653,7.693641,
Kepler-292 d,0.0167934,0.198947,7.055679,
Kepler-53 b,0.0249941,0.257599,18.6489525,
Kepler-11 b,0.00597804,0.1604,10.3039,0.045
HD 153950 b,2.74209,,499.4,0.34
Kepler-69 b,0.0168702,0.199661,13.722341,0.16
Kepler-27 c,0.0793989,0.436759,31.3309,0
HD 16141 b,0.249652,,75.523,0.252
Kepler-221 c,0.0256819,0.261397,5.690586,
Kepler-7 b,0.437758,1.478,4.885525,0
HIP 91258 b,1.068,,5.0505,0.024
WASP-24 b,1.091,1.3,2.3412127,0
HAT-P-29 b,0.779004,1.107,5.723186,0.095
Kepler-38 b,0.0621296,0.387735,105.595,0
HD 204313 d,1.60642,,2831.6,0.28
PSR B1257+12 B,0.0135305,,66.5419,0.0186
Kepler-147 b,0.0125754,0.136497,12.610584,
HD 50554 b,4.39876,,1224,0.444
HD 11964 c,0.0770689,,37.910254,0.301733
Kepler-79 d,0.178374,0.677134,52.09059,
Kepler-344 c,0.0260126,0.263181,125.596809,
HD 13189 b,7.12332,,471.6,0.27
HD 60532 b,1.0348,,201.3,0.28
HAT-P-11 b,0.0825354,0.422,4.8878162,0.198
Kepler-406 b,0.0199895,0.127576,2.42629,0
Kepler-171 b,0.0178911,0.208761,4.166972,
Kepler-330 b,0.00829825,0.120439,8.25978,
HD 104067 b,0.185935,,55.806,0
Kepler-229 b,0.0165098,0.196271,6.252972,
Kepler-144 c,0.00829825,0.120439,10.104665,
HD 20794 b,0.00848679,,18.315,0
Kepler-94 b,0.0341063,0.313113,2.50806,0
Kepler-115 c,0.0208911,0.231956,8.990889,
Kepler-320 c,0.00871939,0.122223,17.934937,
HD 195019 b,3.57989,,18.20132,0.0138
